"","TEAM_ABBREVIATION","ADV_TEAM_ABREVIATION","START_POSITION","MIN","FGM","FGA","FG3M","FG3A","FTM","FTA","OREB","DREB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS","RCK","WIN"
"1217","TOR","BOS","Not Started",1070,2,7,0,0,2,3,2,1,0,2,1,0,1,6,-14,"NoRookie","Lose"
"1218","TOR","BOS","Not Started",646,0,1,0,1,0,0,0,0,1,0,0,0,1,0,7,"NoRookie","Lose"
"1219","TOR","BOS","Not Started",265,3,4,0,0,0,0,0,0,0,1,0,1,0,6,1,"NoRookie","Lose"
"1220","BOS","TOR","Center",1434,6,7,1,1,0,0,3,3,1,0,0,1,4,13,3,"Rookie","Win"
"1221","BOS","TOR","Not Started",1229,1,4,0,3,0,0,1,1,0,1,0,1,1,2,19,"Rookie","Win"
"1222","BOS","TOR","Not Started",734,1,3,0,1,2,2,0,2,0,0,1,0,5,4,13,"Rookie","Win"
"1223","BOS","TOR","Not Started",179,1,1,0,0,0,0,1,0,0,0,1,1,0,2,-6,"Rookie","Win"
"1224","BOS","TOR","Not Started",179,1,3,0,1,0,0,0,0,0,0,0,1,0,2,-6,"Rookie","Win"
"1225","BOS","TOR","Not Started",179,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-6,"Rookie","Win"
"1226","TOR","BOS","Not Started",1310,2,4,0,2,2,2,0,5,1,2,0,1,0,6,-5,"Rookie","Lose"
"1227","TOR","BOS","Not Started",1653,7,10,3,4,7,8,3,3,0,0,2,0,4,24,-5,"Rookie","Lose"
"1228","TOR","BOS","Not Started",179,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,"Rookie","Lose"
"1230","MIN","GSW","Forward",735,1,3,0,2,2,2,0,4,0,0,2,1,2,4,-14,"NoRookie","Lose"
"1231","MIN","GSW","Center",1790,4,8,1,3,2,2,4,4,1,3,1,1,2,11,-7,"NoRookie","Lose"
"1232","MIN","GSW","Guard",2316,10,27,1,8,1,2,1,6,2,0,1,5,5,22,-20,"NoRookie","Lose"
"1233","MIN","GSW","Not Started",1160,3,5,1,1,5,7,0,1,4,0,1,3,2,12,-9,"NoRookie","Lose"
"1234","MIN","GSW","Not Started",996,1,2,0,0,0,0,0,8,1,1,0,0,0,2,4,"NoRookie","Lose"
"1235","MIN","GSW","Not Started",1258,2,5,2,3,2,4,0,2,1,0,0,1,0,8,13,"NoRookie","Lose"
"1236","MIN","GSW","Not Started",248,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-10,"NoRookie","Lose"
"1237","GSW","MIN","Forward",2066,8,13,3,6,6,6,0,2,8,3,1,1,2,25,17,"NoRookie","Win"
"1238","GSW","MIN","Forward",1975,2,6,0,3,5,5,1,13,5,2,1,7,4,9,18,"NoRookie","Win"
"1239","GSW","MIN","Center",1816,6,8,0,0,0,0,2,5,1,2,3,0,2,12,25,"NoRookie","Win"
"1240","GSW","MIN","Guard",1701,4,9,2,5,4,4,1,6,3,1,0,2,5,14,8,"NoRookie","Win"
"1241","GSW","MIN","Guard",2001,8,18,5,11,9,10,0,4,4,0,0,3,2,30,7,"NoRookie","Win"
"1242","GSW","MIN","Not Started",712,3,7,0,0,0,0,5,6,0,0,0,4,1,6,-13,"NoRookie","Win"
"1243","GSW","MIN","Not Started",523,2,2,0,0,0,0,1,0,1,0,0,0,2,4,-3,"NoRookie","Win"
"1244","MIN","GSW","Forward",898,0,7,0,2,2,2,3,0,1,1,1,3,1,2,-13,"Rookie","Lose"
"1245","MIN","GSW","Guard",822,0,2,0,0,0,0,0,2,0,0,1,1,3,0,-17,"Rookie","Lose"
"1246","MIN","GSW","Not Started",969,1,4,0,3,4,4,0,1,2,0,0,0,0,6,7,"Rookie","Lose"
"1247","MIN","GSW","Not Started",881,3,4,1,2,3,4,0,1,0,1,0,0,0,10,-2,"Rookie","Lose"
"1248","MIN","GSW","Not Started",1340,7,13,3,6,2,2,0,2,4,3,0,0,1,19,8,"Rookie","Lose"
"1249","MIN","GSW","Not Started",987,3,6,2,4,0,0,0,0,0,1,0,1,2,8,15,"Rookie","Lose"
"1250","GSW","MIN","Not Started",932,3,6,2,2,0,3,2,0,2,2,1,1,2,8,4,"Rookie","Win"
"1251","GSW","MIN","Not Started",405,0,2,0,0,0,0,0,1,0,0,0,0,0,0,-8,"Rookie","Win"
"1252","GSW","MIN","Not Started",629,0,6,0,1,1,2,0,1,0,0,0,0,2,1,-1,"Rookie","Win"
"1253","GSW","MIN","Not Started",1374,1,6,0,2,0,0,1,1,3,1,0,1,5,2,-2,"Rookie","Win"
"1254","GSW","MIN","Not Started",267,1,4,0,0,0,0,0,3,0,0,0,0,0,2,-7,"Rookie","Win"
"1256","HOU","SAC","Forward",1922,5,10,4,8,0,0,0,2,0,1,0,1,4,14,15,"NoRookie","Win"
"1257","HOU","SAC","Forward",2388,2,6,1,4,0,0,3,7,4,3,0,0,2,5,18,"NoRookie","Win"
"1258","HOU","SAC","Center",2438,6,13,0,0,3,3,3,11,2,0,2,3,4,15,12,"NoRookie","Win"
"1259","HOU","SAC","Guard",2406,10,22,3,4,5,6,0,7,6,1,0,3,5,28,19,"NoRookie","Win"
"1260","HOU","SAC","Guard",2262,10,19,4,11,10,12,0,5,5,2,1,3,2,34,7,"NoRookie","Win"
"1261","HOU","SAC","Not Started",986,3,5,1,3,0,0,0,0,0,0,0,0,0,7,-12,"NoRookie","Win"
"1262","HOU","SAC","Not Started",1418,2,9,2,7,2,2,0,1,0,3,0,1,4,8,-5,"NoRookie","Win"
"1266","SAC","HOU","Forward",1817,3,10,0,4,3,3,0,4,1,0,0,1,2,9,-24,"NoRookie","Lose"
"1267","SAC","HOU","Center",1841,5,8,0,0,2,2,2,11,3,2,1,5,4,12,-7,"NoRookie","Lose"
"1268","SAC","HOU","Guard",1649,3,12,1,8,3,4,0,3,4,0,0,1,1,10,-23,"NoRookie","Lose"
"1269","SAC","HOU","Guard",2158,13,21,1,4,4,9,2,7,6,1,0,3,2,31,-8,"NoRookie","Lose"
"1270","SAC","HOU","Not Started",1771,4,11,2,6,0,0,0,2,2,0,2,1,3,10,1,"NoRookie","Lose"
"1271","SAC","HOU","Not Started",2099,4,8,2,5,2,2,3,3,2,1,0,2,4,12,18,"NoRookie","Lose"
"1272","SAC","HOU","Not Started",1683,4,6,1,2,0,2,2,4,2,0,0,2,6,9,16,"NoRookie","Lose"
"1277","HOU","SAC","Not Started",580,1,3,0,2,0,0,0,0,1,0,0,0,1,2,-9,"Rookie","Win"
"1279","SAC","HOU","Forward",1382,5,11,0,1,1,1,2,4,0,0,1,2,2,11,-18,"Rookie","Lose"
"1281","NOP","POR","Forward",1077,3,9,1,2,0,0,3,4,4,2,0,2,3,7,7,"NoRookie","Win"
"1282","NOP","POR","Forward",2225,6,18,2,5,5,5,0,11,5,2,0,2,2,19,13,"NoRookie","Win"
"1283","NOP","POR","Center",1812,6,10,0,0,0,2,3,10,3,1,1,1,5,12,-4,"NoRookie","Win"
"1284","NOP","POR","Guard",1499,5,10,3,6,3,4,0,2,1,0,0,0,1,16,12,"NoRookie","Win"
"1285","NOP","POR","Guard",2251,7,21,4,11,3,3,1,5,5,1,0,2,1,21,15,"NoRookie","Win"
"1286","NOP","POR","Not Started",1037,1,5,1,4,0,0,0,3,1,0,0,2,2,3,-1,"NoRookie","Win"
"1287","NOP","POR","Not Started",308,0,1,0,1,0,0,0,2,0,0,0,1,1,0,-9,"NoRookie","Win"
"1288","NOP","POR","Not Started",1451,5,10,3,4,0,0,1,2,3,0,0,0,0,13,-2,"NoRookie","Win"
"1290","POR","NOP","Forward",1878,1,3,1,2,0,0,0,1,1,0,0,2,4,3,-16,"NoRookie","Lose"
"1291","POR","NOP","Forward",2229,9,17,1,4,4,4,1,8,2,1,0,2,4,23,-2,"NoRookie","Lose"
"1292","POR","NOP","Center",1924,5,10,0,0,1,2,4,12,2,1,4,3,2,11,-20,"NoRookie","Lose"
"1293","POR","NOP","Guard",2305,9,22,2,10,0,0,0,4,3,1,0,0,2,20,-6,"NoRookie","Lose"
"1294","POR","NOP","Guard",2213,6,21,0,10,6,6,0,3,7,2,0,3,1,18,-14,"NoRookie","Lose"
"1295","POR","NOP","Not Started",1112,4,7,0,0,0,0,2,3,1,0,2,1,1,8,10,"NoRookie","Lose"
"1299","NOP","POR","Not Started",1034,2,4,0,0,0,0,3,1,1,0,4,2,3,4,11,"Rookie","Win"
"1300","NOP","POR","Not Started",376,1,1,0,0,0,2,0,1,0,0,1,0,1,2,-8,"Rookie","Win"
"1301","NOP","POR","Not Started",165,0,2,0,1,0,0,0,0,0,0,0,0,0,0,-6,"Rookie","Win"
"1302","NOP","POR","Not Started",1167,2,2,1,1,0,0,2,1,0,0,0,0,0,5,12,"Rookie","Win"
"1303","POR","NOP","Not Started",1002,1,4,0,2,0,0,0,2,1,1,0,0,1,2,8,"Rookie","Lose"
"1304","POR","NOP","Not Started",1278,2,6,0,1,4,4,0,6,0,0,0,0,2,8,3,"Rookie","Lose"
"1305","POR","NOP","Not Started",460,0,1,0,0,1,2,1,1,0,0,0,0,0,1,-3,"Rookie","Lose"
"1306","DEN","PHX","Forward",2060,6,11,1,2,0,0,1,5,5,2,0,3,3,13,14,"NoRookie","Win"
"1307","DEN","PHX","Forward",1685,4,7,0,2,2,2,1,7,2,1,0,3,2,10,21,"NoRookie","Win"
"1308","DEN","PHX","Center",1852,6,13,4,7,6,6,1,11,10,1,0,2,4,22,25,"NoRookie","Win"
"1309","DEN","PHX","Guard",2102,4,6,1,2,0,0,0,0,2,2,0,2,4,9,13,"NoRookie","Win"
"1310","DEN","PHX","Guard",2107,12,19,4,8,0,0,1,2,7,2,0,4,2,28,6,"NoRookie","Win"
"1311","DEN","PHX","Not Started",1197,3,6,1,2,4,7,0,1,0,0,1,0,1,11,-19,"NoRookie","Win"
"1312","DEN","PHX","Not Started",771,3,6,2,2,0,0,0,0,1,1,0,0,1,8,-4,"NoRookie","Win"
"1313","DEN","PHX","Not Started",1029,1,2,0,0,0,0,2,5,3,0,0,3,1,2,-23,"NoRookie","Win"
"1314","DEN","PHX","Not Started",1227,3,7,1,2,0,0,0,1,1,1,0,3,4,7,-24,"NoRookie","Win"
"1317","PHX","DEN","Forward",2292,5,16,1,8,3,3,2,1,3,2,0,2,2,14,-17,"NoRookie","Lose"
"1318","PHX","DEN","Forward",996,6,11,1,4,0,1,2,4,2,0,0,0,0,13,-13,"NoRookie","Lose"
"1319","PHX","DEN","Center",1793,5,11,0,1,1,1,1,5,3,0,0,3,3,11,0,"NoRookie","Lose"
"1320","PHX","DEN","Guard",2061,3,12,1,6,4,4,1,2,6,1,0,2,5,11,-5,"NoRookie","Lose"
"1321","PHX","DEN","Guard",2050,9,12,2,4,1,1,0,7,9,1,0,6,1,21,-1,"NoRookie","Lose"
"1322","PHX","DEN","Not Started",1087,4,6,2,3,3,4,0,3,0,0,0,3,4,13,-2,"NoRookie","Lose"
"1325","DEN","PHX","Not Started",371,1,1,1,1,0,0,0,1,0,0,0,1,2,3,1,"Rookie","Win"
"1327","PHX","DEN","Not Started",152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,"Rookie","Lose"
"1328","PHX","DEN","Not Started",1122,3,6,3,5,2,4,2,5,1,0,0,0,1,11,15,"Rookie","Lose"
"1329","PHX","DEN","Not Started",1694,5,9,2,4,0,0,0,1,1,3,0,0,0,12,8,"Rookie","Lose"
"1330","PHX","DEN","Not Started",303,0,2,0,1,0,0,0,0,1,0,0,1,1,0,1,"Rookie","Lose"
"1331","PHX","DEN","Not Started",850,2,2,1,1,0,0,1,1,3,3,0,0,2,5,13,"Rookie","Lose"
"1332","SAS","MEM","Forward",1739,10,11,0,0,6,6,0,3,10,3,0,2,3,26,31,"NoRookie","Win"
"1333","SAS","MEM","Forward",1906,17,25,3,5,3,4,3,6,5,0,3,1,1,40,29,"NoRookie","Win"
"1334","SAS","MEM","Center",1509,7,9,3,4,0,0,0,8,4,0,1,0,2,17,36,"NoRookie","Win"
"1335","SAS","MEM","Guard",1692,7,10,0,0,0,0,0,6,4,2,0,5,4,14,21,"NoRookie","Win"
"1336","SAS","MEM","Guard",1492,3,4,3,4,0,0,0,2,4,0,0,2,0,9,14,"NoRookie","Win"
"1337","SAS","MEM","Not Started",1080,3,7,2,5,0,0,1,2,2,1,0,0,1,8,2,"NoRookie","Win"
"1338","SAS","MEM","Not Started",1188,3,4,1,1,0,0,0,6,4,2,0,0,1,7,9,"NoRookie","Win"
"1339","SAS","MEM","Not Started",1238,4,7,2,3,0,2,0,2,0,0,0,0,1,10,7,"NoRookie","Win"
"1340","SAS","MEM","Not Started",1186,2,6,1,2,1,2,0,2,2,0,0,0,0,6,-10,"NoRookie","Win"
"1341","SAS","MEM","Not Started",763,0,2,0,0,0,0,0,2,1,0,0,0,1,0,-5,"NoRookie","Win"
"1342","SAS","MEM","Not Started",185,1,1,0,0,0,0,0,1,0,0,0,1,0,2,4,"NoRookie","Win"
"1343","MEM","SAS","Forward",1772,1,9,1,6,1,2,2,0,4,0,0,0,2,4,-34,"NoRookie","Lose"
"1344","MEM","SAS","Center",1485,8,13,0,1,2,2,3,9,3,0,0,1,1,18,2,"NoRookie","Lose"
"1345","MEM","SAS","Guard",1505,5,11,1,3,3,3,1,1,2,2,0,4,4,14,-18,"NoRookie","Lose"
"1346","MEM","SAS","Not Started",1055,4,5,3,4,0,0,2,1,3,0,0,0,1,11,-21,"NoRookie","Lose"
"1347","MEM","SAS","Not Started",552,0,3,0,1,0,0,0,0,0,0,0,0,3,0,-4,"NoRookie","Lose"
"1348","MEM","SAS","Not Started",740,1,2,1,2,0,0,0,4,2,0,0,0,1,3,17,"NoRookie","Lose"
"1349","MEM","SAS","Not Started",185,0,1,0,0,0,0,0,0,2,1,0,0,0,0,-4,"NoRookie","Lose"
"1350","SAS","MEM","Not Started",211,1,1,0,0,0,0,0,0,0,0,0,1,0,2,6,"Rookie","Win"
"1351","SAS","MEM","Not Started",211,2,2,0,0,0,0,0,2,0,1,0,0,0,4,6,"Rookie","Win"
"1352","MEM","SAS","Forward",1899,8,14,6,9,0,4,1,1,2,0,0,1,3,22,-35,"Rookie","Lose"
"1353","MEM","SAS","Guard",1825,7,14,1,3,4,5,0,3,4,1,0,2,1,19,-9,"Rookie","Lose"
"1354","MEM","SAS","Not Started",1266,5,9,0,1,0,0,2,2,1,0,0,1,0,10,-36,"Rookie","Lose"
"1355","MEM","SAS","Not Started",1061,3,9,0,2,0,0,0,3,3,3,0,3,2,6,-6,"Rookie","Lose"
"1356","MEM","SAS","Not Started",1055,3,6,2,5,0,0,0,0,2,0,0,1,1,8,-2,"Rookie","Lose"
"1358","UTA","MIA","Forward",1753,4,14,2,7,9,10,1,3,3,0,0,1,5,19,1,"NoRookie","Lose"
"1359","UTA","MIA","Forward",2153,2,7,1,5,0,0,0,6,1,0,1,1,2,5,6,"NoRookie","Lose"
"1360","UTA","MIA","Center",2169,9,11,0,0,0,1,5,14,0,1,5,1,3,18,-3,"NoRookie","Lose"
"1361","UTA","MIA","Guard",2265,9,16,7,12,2,2,1,3,2,1,0,3,3,27,0,"NoRookie","Lose"
"1362","UTA","MIA","Guard",2330,5,18,1,6,2,4,0,3,7,3,0,4,3,13,13,"NoRookie","Lose"
"1363","UTA","MIA","Not Started",1376,6,8,0,0,0,0,0,2,2,1,0,1,0,12,-18,"NoRookie","Lose"
"1364","UTA","MIA","Not Started",539,1,7,1,4,0,0,0,1,0,1,0,0,0,3,-6,"NoRookie","Lose"
"1365","UTA","MIA","Not Started",1104,3,8,0,2,1,1,0,1,2,2,0,0,1,7,-8,"NoRookie","Lose"
"1366","UTA","MIA","Not Started",711,0,1,0,0,0,0,3,2,0,1,0,0,4,0,0,"NoRookie","Lose"
"1368","MIA","UTA","Forward",2044,7,15,0,1,6,7,4,4,2,2,0,1,2,20,-7,"NoRookie","Win"
"1369","MIA","UTA","Forward",2286,5,14,0,0,8,10,5,8,6,3,3,2,2,18,-6,"NoRookie","Win"
"1370","MIA","UTA","Center",1310,4,5,1,1,2,2,3,7,0,0,0,2,0,11,-2,"NoRookie","Win"
"1371","MIA","UTA","Not Started",1791,5,16,3,6,2,2,1,5,1,1,0,1,2,15,15,"NoRookie","Win"
"1372","MIA","UTA","Not Started",1903,2,6,0,3,4,4,0,6,0,1,0,1,1,8,4,"NoRookie","Win"
"1373","MIA","UTA","Not Started",474,1,3,1,2,0,0,0,1,1,0,0,1,1,3,1,"NoRookie","Win"
"1379","MIA","UTA","Guard",1216,1,3,1,3,2,2,0,4,1,0,0,1,5,5,-3,"Rookie","Win"
"1380","MIA","UTA","Guard",1750,5,15,0,4,0,0,0,2,3,0,0,3,1,10,6,"Rookie","Win"
"1381","MIA","UTA","Not Started",1626,7,13,3,5,0,0,0,6,2,1,0,2,2,17,7,"Rookie","Win"
"1383","CHI","ORL","Forward",1893,3,6,1,3,1,2,0,4,6,4,0,2,4,8,-9,"NoRookie","Lose"
"1384","CHI","ORL","Forward",1799,4,11,2,7,0,0,0,3,2,0,1,0,0,10,1,"NoRookie","Lose"
"1385","CHI","ORL","Guard",2290,8,26,3,13,7,7,1,7,2,1,1,5,1,26,-1,"NoRookie","Lose"
"1386","CHI","ORL","Guard",2002,8,12,4,5,0,0,2,4,3,1,0,1,2,20,1,"NoRookie","Lose"
"1387","CHI","ORL","Not Started",1322,2,7,1,2,2,2,3,4,4,1,0,2,4,7,-3,"NoRookie","Lose"
"1388","CHI","ORL","Not Started",987,1,3,1,1,1,2,0,5,1,0,0,0,0,4,1,"NoRookie","Lose"
"1389","CHI","ORL","Not Started",300,0,4,0,3,0,0,0,0,0,0,0,1,0,0,-2,"NoRookie","Lose"
"1392","ORL","CHI","Forward",1991,5,8,0,1,3,4,1,8,5,4,3,1,5,13,8,"NoRookie","Win"
"1393","ORL","CHI","Forward",1882,6,14,1,3,3,6,2,9,4,1,3,2,1,16,-3,"NoRookie","Win"
"1394","ORL","CHI","Center",1862,9,17,2,3,1,5,2,5,2,0,2,1,1,21,0,"NoRookie","Win"
"1395","ORL","CHI","Guard",1911,2,4,0,2,4,4,0,4,2,2,0,3,3,8,0,"NoRookie","Win"
"1396","ORL","CHI","Guard",1618,6,11,1,3,0,0,0,6,4,0,1,5,2,13,-2,"NoRookie","Win"
"1397","ORL","CHI","Not Started",1262,1,3,0,0,0,0,0,2,5,0,0,0,0,2,10,"NoRookie","Win"
"1398","ORL","CHI","Not Started",969,0,4,0,0,0,0,0,1,0,2,0,1,3,0,8,"NoRookie","Win"
"1399","ORL","CHI","Not Started",1887,8,17,6,13,4,4,0,4,0,1,0,0,0,26,11,"NoRookie","Win"
"1401","CHI","ORL","Center",1679,3,8,0,1,0,0,3,7,0,0,0,2,4,6,-6,"Rookie","Lose"
"1402","CHI","ORL","Not Started",1168,4,9,1,2,0,0,0,2,1,0,1,1,0,9,-14,"Rookie","Lose"
"1403","CHI","ORL","Not Started",886,2,2,0,0,1,2,2,0,1,0,2,1,2,5,-6,"Rookie","Lose"
"1404","CHI","ORL","Not Started",74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,"Rookie","Lose"
"1405","ORL","CHI","Not Started",1018,2,3,0,1,0,0,1,1,1,0,4,0,0,4,8,"Rookie","Win"
"1409","WAS","NYK","Center",1692,1,5,0,1,6,11,5,4,2,1,1,0,3,8,2,"NoRookie","Win"
"1410","WAS","NYK","Guard",2192,13,38,2,11,2,4,3,1,3,2,2,3,2,30,-7,"NoRookie","Win"
"1411","WAS","NYK","Guard",1511,8,14,1,2,0,2,1,3,4,0,1,0,0,17,1,"NoRookie","Win"
"1412","WAS","NYK","Not Started",1188,6,7,0,0,2,4,1,2,0,0,0,0,0,14,4,"NoRookie","Win"
"1413","WAS","NYK","Not Started",2041,4,8,1,1,1,2,4,7,5,6,0,2,2,10,13,"NoRookie","Win"
"1416","NYK","WAS","Forward",2228,11,21,4,8,9,9,2,3,2,2,1,3,3,35,4,"NoRookie","Lose"
"1417","NYK","WAS","Guard",1812,2,8,1,2,0,0,2,5,12,1,1,2,4,5,2,"NoRookie","Lose"
"1418","NYK","WAS","Not Started",1373,4,10,0,2,0,1,1,3,3,0,0,1,4,8,-8,"NoRookie","Lose"
"1419","NYK","WAS","Not Started",1630,7,13,5,10,0,2,0,2,3,0,0,0,1,19,0,"NoRookie","Lose"
"1420","NYK","WAS","Not Started",417,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-13,"NoRookie","Lose"
"1421","NYK","WAS","Not Started",651,2,4,1,3,0,0,0,1,3,0,1,1,3,5,5,"NoRookie","Lose"
"1424","WAS","NYK","Forward",685,2,2,0,0,0,0,0,2,2,0,0,1,2,4,1,"Rookie","Win"
"1425","WAS","NYK","Forward",1098,1,3,1,3,0,0,0,2,2,1,1,1,1,3,-10,"Rookie","Win"
"1426","WAS","NYK","Not Started",1936,9,15,2,4,6,7,1,8,7,1,1,0,0,26,8,"Rookie","Win"
"1427","WAS","NYK","Not Started",940,1,3,1,3,0,0,0,1,1,0,1,0,2,3,9,"Rookie","Win"
"1428","WAS","NYK","Not Started",1117,2,5,2,5,0,0,1,2,1,1,0,1,0,6,9,"Rookie","Win"
"1429","NYK","WAS","Forward",1608,2,8,1,4,3,3,0,3,1,0,1,2,2,8,-16,"Rookie","Lose"
"1430","NYK","WAS","Center",1373,3,6,0,0,0,0,4,9,0,0,6,0,5,6,6,"Rookie","Lose"
"1431","NYK","WAS","Guard",2132,8,15,2,4,0,0,2,4,4,1,0,4,2,18,0,"Rookie","Lose"
"1432","NYK","WAS","Not Started",1176,5,7,1,3,0,0,0,2,1,0,0,1,1,11,-10,"Rookie","Lose"
"1434","TOR","IND","Forward",1224,2,5,1,2,0,0,1,1,0,0,0,1,4,5,4,"NoRookie","Lose"
"1435","TOR","IND","Forward",2552,6,13,1,6,2,4,2,10,0,2,1,0,2,15,-6,"NoRookie","Lose"
"1436","TOR","IND","Center",2501,11,21,1,3,0,0,3,6,2,0,1,3,4,23,-13,"NoRookie","Lose"
"1437","TOR","IND","Guard",2470,8,18,1,8,4,4,1,2,11,3,2,5,2,21,-13,"NoRookie","Lose"
"1438","TOR","IND","Guard",2627,10,21,5,12,5,6,0,6,9,1,0,5,2,30,-10,"NoRookie","Lose"
"1439","TOR","IND","Not Started",2254,2,3,0,0,4,6,3,6,6,0,3,0,3,8,-3,"NoRookie","Lose"
"1440","TOR","IND","Not Started",246,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,"NoRookie","Lose"
"1442","IND","TOR","Forward",2479,10,19,2,7,2,3,2,6,6,0,2,1,3,24,8,"NoRookie","Win"
"1443","IND","TOR","Forward",2431,5,14,0,0,2,7,5,12,3,0,1,3,4,12,6,"NoRookie","Win"
"1444","IND","TOR","Center",2169,9,12,5,6,1,2,2,5,1,0,3,1,2,24,11,"NoRookie","Win"
"1445","IND","TOR","Guard",2118,4,9,2,4,2,2,1,2,4,4,0,2,2,12,19,"NoRookie","Win"
"1446","IND","TOR","Not Started",1212,1,5,1,4,0,0,2,1,1,1,0,0,1,3,-3,"NoRookie","Win"
"1447","IND","TOR","Not Started",1439,5,9,0,2,2,2,0,2,4,0,0,1,0,12,-6,"NoRookie","Win"
"1448","IND","TOR","Not Started",813,2,4,1,2,1,2,1,1,2,0,1,2,3,6,-10,"NoRookie","Win"
"1449","IND","TOR","Not Started",1386,2,7,2,7,2,2,0,2,3,1,0,0,2,8,-13,"NoRookie","Win"
"1452","TOR","IND","Not Started",1195,3,9,2,7,0,0,0,3,2,0,0,1,2,8,10,"Rookie","Lose"
"1453","TOR","IND","Not Started",831,1,3,0,1,3,4,2,4,0,0,1,1,3,5,3,"Rookie","Lose"
"1456","IND","TOR","Guard",1853,7,16,5,10,0,0,0,1,10,1,1,2,5,19,13,"Rookie","Win"
"1459","PHI","DET","Forward",2056,14,21,4,7,3,3,1,6,3,2,0,0,3,35,22,"NoRookie","Win"
"1460","PHI","DET","Forward",1854,4,7,1,3,0,0,0,6,4,1,1,0,1,9,23,"NoRookie","Win"
"1461","PHI","DET","Center",1673,7,9,1,1,5,6,3,5,3,1,3,3,2,20,-7,"NoRookie","Win"
"1462","PHI","DET","Guard",1981,4,11,0,4,1,2,0,2,3,1,2,3,4,9,-5,"NoRookie","Win"
"1463","PHI","DET","Guard",2236,8,14,0,0,0,0,6,7,17,0,0,4,4,16,20,"NoRookie","Win"
"1464","PHI","DET","Not Started",1303,9,16,3,7,0,0,2,2,0,3,0,0,0,21,26,"NoRookie","Win"
"1465","PHI","DET","Not Started",1441,2,7,2,4,0,0,4,3,2,0,2,1,2,6,20,"NoRookie","Win"
"1466","PHI","DET","Not Started",1038,3,6,1,4,0,0,1,0,0,0,0,0,1,7,-12,"NoRookie","Win"
"1467","PHI","DET","Not Started",644,0,3,0,0,0,0,0,0,1,0,0,1,3,0,-4,"NoRookie","Win"
"1468","PHI","DET","Not Started",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,"NoRookie","Win"
"1469","PHI","DET","Not Started",58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,"NoRookie","Win"
"1471","DET","PHI","Forward",1897,3,6,2,4,0,0,0,2,0,0,0,2,1,8,-9,"NoRookie","Lose"
"1472","DET","PHI","Forward",1649,2,14,0,6,4,5,1,4,3,2,0,1,1,8,-19,"NoRookie","Lose"
"1473","DET","PHI","Center",580,1,4,0,2,2,2,1,2,0,0,0,1,0,4,-6,"NoRookie","Lose"
"1474","DET","PHI","Guard",1362,3,5,1,2,0,0,0,1,5,1,0,2,4,7,-13,"NoRookie","Lose"
"1475","DET","PHI","Not Started",1518,7,14,0,4,2,2,0,3,7,2,1,2,0,16,-3,"NoRookie","Lose"
"1476","DET","PHI","Not Started",1874,2,8,1,3,1,1,1,0,4,1,0,2,0,6,-16,"NoRookie","Lose"
"1477","DET","PHI","Not Started",1948,13,16,0,0,1,2,3,6,3,1,0,1,3,27,-2,"NoRookie","Lose"
"1478","DET","PHI","Not Started",1328,4,5,2,3,1,2,0,3,1,1,0,1,1,11,-4,"NoRookie","Lose"
"1479","DET","PHI","Not Started",255,4,5,0,1,0,0,0,0,0,1,0,1,1,8,-1,"NoRookie","Lose"
"1480","PHI","DET","Not Started",58,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-1,"Rookie","Win"
"1481","DET","PHI","Guard",1931,4,7,4,5,1,2,0,2,4,0,0,0,3,13,-8,"Rookie","Lose"
"1482","DET","PHI","Not Started",58,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1,"Rookie","Lose"
"1484","ATL","CLE","Forward",2089,12,20,2,5,1,1,1,9,0,2,2,0,4,27,5,"NoRookie","Lose"
"1485","ATL","CLE","Not Started",915,3,6,0,2,1,1,0,0,0,0,0,2,0,7,-9,"NoRookie","Lose"
"1486","ATL","CLE","Not Started",388,0,1,0,1,0,0,1,1,1,0,1,2,1,0,0,"NoRookie","Lose"
"1487","ATL","CLE","Not Started",1156,0,1,0,0,0,0,0,5,2,1,0,2,1,0,-13,"NoRookie","Lose"
"1488","ATL","CLE","Not Started",516,0,1,0,0,0,0,1,0,0,0,1,0,2,0,-6,"NoRookie","Lose"
"1489","ATL","CLE","Not Started",900,1,5,1,3,0,0,1,4,1,0,1,0,2,3,-6,"NoRookie","Lose"
"1492","CLE","ATL","Forward",2011,7,15,3,7,1,1,1,1,3,1,0,3,4,18,-4,"NoRookie","Win"
"1493","CLE","ATL","Forward",2062,7,16,3,10,3,3,1,7,5,1,1,5,2,20,5,"NoRookie","Win"
"1494","CLE","ATL","Center",1951,1,6,0,0,1,2,2,8,2,2,1,1,2,3,-5,"NoRookie","Win"
"1495","CLE","ATL","Not Started",1133,3,7,0,2,2,2,2,1,4,1,0,2,2,8,3,"NoRookie","Win"
