"","TEAM_ABBREVIATION","ADV_TEAM_ABREVIATION","START_POSITION","MIN","FGM","FGA","FG3M","FG3A","FTM","FTA","OREB","DREB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS","RCK","WIN"
"4851","BKN","ATL","Guard",2065,10,16,6,9,1,1,1,3,3,0,0,2,5,27,6,"NoRookie","Win"
"4852","BKN","ATL","Guard",2069,10,23,0,4,4,6,2,4,5,2,0,6,4,24,4,"NoRookie","Win"
"4853","BKN","ATL","Not Started",1125,1,3,0,2,0,0,2,4,1,0,0,0,2,2,6,"NoRookie","Win"
"4854","BKN","ATL","Not Started",1145,1,2,0,0,2,2,1,8,2,0,1,2,1,4,6,"NoRookie","Win"
"4855","BKN","ATL","Not Started",1006,2,5,1,1,0,0,1,2,1,1,2,1,2,5,3,"NoRookie","Win"
"4856","ATL","BKN","Forward",1763,5,9,0,1,0,0,0,3,0,0,0,3,3,10,-1,"NoRookie","Lose"
"4857","ATL","BKN","Center",1706,8,8,0,0,4,9,2,6,1,0,1,1,3,20,-8,"NoRookie","Lose"
"4858","ATL","BKN","Guard",2033,1,9,0,5,0,0,2,2,4,0,2,1,4,2,-7,"NoRookie","Lose"
"4859","ATL","BKN","Not Started",686,1,2,0,1,0,0,0,0,0,0,1,0,1,2,-11,"NoRookie","Lose"
"4860","ATL","BKN","Not Started",1247,1,4,0,0,0,0,1,2,4,0,2,3,1,2,-19,"NoRookie","Lose"
"4861","ATL","BKN","Not Started",1017,9,13,0,0,0,0,1,6,3,2,1,0,3,18,4,"NoRookie","Lose"
"4862","ATL","BKN","Not Started",237,0,2,0,1,0,0,0,0,0,1,0,1,1,0,1,"NoRookie","Lose"
"4863","BKN","ATL","Not Started",815,1,6,0,2,3,3,0,1,2,0,0,0,1,5,6,"Rookie","Win"
"4864","BKN","ATL","Not Started",811,3,9,1,3,0,0,1,1,2,0,0,1,1,7,8,"Rookie","Win"
"4866","ATL","BKN","Forward",2214,10,17,4,7,1,2,2,4,0,3,1,0,0,25,-2,"Rookie","Lose"
"4867","ATL","BKN","Guard",2235,13,23,5,9,8,10,1,2,10,1,0,6,1,39,1,"Rookie","Lose"
"4868","ATL","BKN","Not Started",926,0,2,0,1,0,0,0,1,2,1,1,0,1,0,-2,"Rookie","Lose"
"4869","ATL","BKN","Not Started",157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,"Rookie","Lose"
"4870","ATL","BKN","Not Started",179,0,1,0,1,0,0,0,0,0,0,0,1,1,0,-8,"Rookie","Lose"
"4872","PHX","ORL","Forward",1385,3,8,1,3,1,2,1,2,2,2,0,0,4,8,-2,"NoRookie","Lose"
"4873","PHX","ORL","Forward",1530,3,7,1,4,3,4,3,3,2,0,0,2,3,10,-3,"NoRookie","Lose"
"4874","PHX","ORL","Center",1564,10,12,3,4,0,1,1,4,3,1,0,1,1,23,-1,"NoRookie","Lose"
"4875","PHX","ORL","Guard",1798,7,16,2,5,1,2,0,3,5,0,0,2,2,17,-5,"NoRookie","Lose"
"4876","PHX","ORL","Guard",1506,2,9,0,3,0,0,2,1,9,1,0,0,2,4,-6,"NoRookie","Lose"
"4877","PHX","ORL","Not Started",1160,6,8,1,1,3,4,1,3,0,2,0,1,0,16,-10,"NoRookie","Lose"
